"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11141","mouse actions @smoke","chromium","Wed Oct 08 16:41:10 IST 2025","passed","Wed Oct 08 16:41:21 IST 2025","","AP.spec.js","",""
"","23384","keyboard actions @smoke and @Adhoc","chromium","Wed Oct 08 16:41:10 IST 2025","passed","Wed Oct 08 16:41:34 IST 2025","","AP.spec.js","",""
